media_id,title,pdf_date,source_folder,ticker,direction,strength,reason,model
pdf_c4e6e66f56fa0b99703202f9120a53f4_8243da6ed3b788c9572d2cba317121177297249738490228,0819_美股盘后科技日报01.pdf,2026-08-19,美国科技日报(270),QQQ,-1,0.5,摘要明确提到QQQ跌1.75%，科技板块整体避险走弱，半导体领跌约5%,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_8243da6ed3b788c9572d2cba317121177297249738490228,0819_美股盘后科技日报01.pdf,2026-08-19,美国科技日报(270),META,-1,0.5,原文提到META因多州开庭走弱,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_8243da6ed3b788c9572d2cba317121177297249738490228,0819_美股盘后科技日报01.pdf,2026-08-19,美国科技日报(270),DUOL,1,0.4,原文提到DUOL逆势上涨,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_8243da6ed3b788c9572d2cba317121177297249738490228,0819_美股盘后科技日报01.pdf,2026-08-19,美国科技日报(270),SPOT,1,0.4,原文提到SPOT逆势上涨,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_8243da6ed3b788c9572d2cba317121177297249738490228,0819_美股盘后科技日报01.pdf,2026-08-19,美国科技日报(270),SPCX,0,0.2,仅中性提及关键价位150/135美元，无明确多空倾向,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_00e8c9cb70a2558c6ff23f67f6c1f8087297249738490228,0820_美股盘前科技日报02.pdf,2026-08-20,美国科技日报(270),NVDA,1,0.7,机构明确看多，且建议关注定制芯片与HBM机会,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_00e8c9cb70a2558c6ff23f67f6c1f8087297249738490228,0820_美股盘前科技日报02.pdf,2026-08-20,美国科技日报(270),AVGO,1,0.7,机构明确看多，定制芯片机会相关标的,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_00e8c9cb70a2558c6ff23f67f6c1f8087297249738490228,0820_美股盘前科技日报02.pdf,2026-08-20,美国科技日报(270),ETSY,1,0.6,多家机构上调评级,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_00e8c9cb70a2558c6ff23f67f6c1f8087297249738490228,0820_美股盘前科技日报02.pdf,2026-08-20,美国科技日报(270),ADI,1,0.6,多家机构上调评级,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_00e8c9cb70a2558c6ff23f67f6c1f8087297249738490228,0820_美股盘前科技日报02.pdf,2026-08-20,美国科技日报(270),BABA,1,0.4,云业务加速至同比45%且利润率超预期，但买方期待更高，信号偏多但强度有限,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_ae362de625eb5232f561368297d33ae07297249738490228,科技日报 0817美股盘前.pdf,2026-08-17,美国科技日报(270),NVDA,1,0.8,摩根士丹利看多NVDA，目标价上调至288美元，AI基础设施单机架价值量提升与先进封装增量亦利好,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_ae362de625eb5232f561368297d33ae07297249738490228,科技日报 0817美股盘前.pdf,2026-08-17,美国科技日报(270),AAPL,1,0.6,罗斯柴尔德上调AAPL目标价至400美元，但存在被施压弃用中国存储芯片的政治干预风险,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_ae362de625eb5232f561368297d33ae07297249738490228,科技日报 0817美股盘前.pdf,2026-08-17,美国科技日报(270),MU,1,0.6,内存短缺成为行业焦点、存储板块盘前领涨，美国施压苹果弃用中国存储芯片利好美系存储厂商,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_ae362de625eb5232f561368297d33ae07297249738490228,科技日报 0817美股盘前.pdf,2026-08-17,美国科技日报(270),AMZN,0,0.2,机构密集更新评级与目标价，但摘要未披露具体多空方向,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_4f63a906d8d609bfc73e2900f138dc2b7297249738490228,0820_美股盘后科技日报01.pdf,2026-08-20,美国科技日报(270),MRVL,1,0.8,因谷歌定制芯片协议股价大涨10%，定制芯片需求明确利好,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_4f63a906d8d609bfc73e2900f138dc2b7297249738490228,0820_美股盘后科技日报01.pdf,2026-08-20,美国科技日报(270),LITE,1,0.7,垂直整合磷化铟供应链，承接英伟达光互连建设，属AI光互连增量机会,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_4f63a906d8d609bfc73e2900f138dc2b7297249738490228,0820_美股盘后科技日报01.pdf,2026-08-20,美国科技日报(270),RDDT,-1,0.7,因ChatGPT引用导致流量/引用下滑而暴跌,glm-5.3
pdf_c4e6e66f56fa0b99703202f9120a53f4_4f63a906d8d609bfc73e2900f138dc2b7297249738490228,0820_美股盘后科技日报01.pdf,2026-08-20,美国科技日报(270),SPOT,1,0.5,被列为广告与定价拐点的建议关注标的,glm-5.3
